frame_number,timestamp_ms,landmark_name,x,y,z
124,117675378,pose_RIGHT_THUMB,0.00018,1.13708,-0.55847
124,117675378,pose_LEFT_HIP,0.32823,0.98935,0.06277
124,117675378,pose_RIGHT_HIP,0.1451,1.0658,-0.06166
124,117675378,pose_LEFT_KNEE,0.35564,1.50413,0.21463
124,117675378,pose_RIGHT_KNEE,0.17958,1.55097,0.03458
124,117675378,pose_LEFT_ANKLE,0.38727,1.9266,0.56658
124,117675378,pose_RIGHT_ANKLE,0.20628,1.96824,0.2772
124,117675378,pose_LEFT_HEEL,0.38374,1.99352,0.58451
124,117675378,pose_RIGHT_HEEL,0.19052,2.03601,0.2872
124,117675378,pose_LEFT_FOOT_INDEX,0.42458,2.05063,0.30583
124,117675378,pose_RIGHT_FOOT_INDEX,0.27528,2.08271,-0.07913
126,117675444,pose_LEFT_SHOULDER,0.36108,0.42363,-0.13348
126,117675444,pose_RIGHT_SHOULDER,0.02204,0.46581,-0.28987
126,117675444,pose_LEFT_ELBOW,0.3864,0.74104,0.10033
126,117675444,pose_RIGHT_ELBOW,-0.05052,0.82916,-0.2291
126,117675444,pose_LEFT_WRIST,0.40412,0.97376,0.08527
126,117675444,pose_RIGHT_WRIST,-0.05751,1.13485,-0.38486
126,117675444,pose_LEFT_PINKY,0.42022,1.04652,0.0624
126,117675444,pose_RIGHT_PINKY,-0.07478,1.22739,-0.43705
126,117675444,pose_LEFT_INDEX,0.4093,1.04187,0.00764
126,117675444,pose_RIGHT_INDEX,-0.03621,1.20415,-0.48323
126,117675444,pose_LEFT_THUMB,0.39167,1.01656,0.05743
126,117675444,pose_RIGHT_THUMB,-0.02145,1.16156,-0.40926
126,117675444,pose_LEFT_HIP,0.31756,1.04415,0.05011
126,117675444,pose_RIGHT_HIP,0.11445,1.08371,-0.04856
126,117675444,pose_LEFT_KNEE,0.34595,1.54751,0.14265
126,117675444,pose_RIGHT_KNEE,0.15805,1.57161,0.01706
126,117675444,pose_LEFT_ANKLE,0.3783,1.98584,0.51621
126,117675444,pose_RIGHT_ANKLE,0.19602,2.00593,0.24919
126,117675444,pose_LEFT_HEEL,0.37896,2.04897,0.5343
126,117675444,pose_RIGHT_HEEL,0.18728,2.07398,0.25868
126,117675444,pose_LEFT_FOOT_INDEX,0.39036,2.12373,0.2224
126,117675444,pose_RIGHT_FOOT_INDEX,0.24832,2.12433,-0.14431
127,117675578,pose_LEFT_SHOULDER,0.33365,0.45829,-0.02429
127,117675578,pose_RIGHT_SHOULDER,0.02749,0.46217,-0.22647
127,117675578,pose_LEFT_ELBOW,0.35,0.75468,0.07822
127,117675578,pose_RIGHT_ELBOW,-0.00093,0.794,-0.20357
127,117675578,pose_LEFT_WRIST,0.35012,0.99838,-0.11941
127,117675578,pose_RIGHT_WRIST,0.03297,1.04321,-0.38515
127,117675578,pose_LEFT_PINKY,0.36137,1.07587,-0.17151
127,117675578,pose_RIGHT_PINKY,0.03162,1.1288,-0.45017
127,117675578,pose_LEFT_INDEX,0.35393,1.07357,-0.23675
127,117675578,pose_RIGHT_INDEX,0.05095,1.11542,-0.50515
127,117675578,pose_LEFT_THUMB,0.3401,1.04514,-0.155
127,117675578,pose_RIGHT_THUMB,0.057,1.08099,-0.41144
127,117675578,pose_LEFT_HIP,0.286,1.03084,0.04688
127,117675578,pose_RIGHT_HIP,0.10997,1.03595,-0.04553
127,117675578,pose_LEFT_KNEE,0.29561,1.53429,0.05449
127,117675578,pose_RIGHT_KNEE,0.11366,1.5364,-0.04557
127,117675578,pose_LEFT_ANKLE,0.3169,1.96945,0.39769
127,117675578,pose_RIGHT_ANKLE,0.13572,1.98271,0.16676
127,117675578,pose_LEFT_HEEL,0.31994,2.02825,0.41236
127,117675578,pose_RIGHT_HEEL,0.12873,2.05041,0.17327
127,117675578,pose_LEFT_FOOT_INDEX,0.30917,2.10609,0.06381
127,117675578,pose_RIGHT_FOOT_INDEX,0.16683,2.10086,-0.23261
128,117675711,pose_LEFT_SHOULDER,0.30996,0.46223,-0.03008
128,117675711,pose_RIGHT_SHOULDER,0.02497,0.45063,-0.28703
128,117675711,pose_LEFT_ELBOW,0.34705,0.75009,0.07003
128,117675711,pose_RIGHT_ELBOW,0.01332,0.77056,-0.25112
128,117675711,pose_LEFT_WRIST,0.32456,0.98606,-0.3096
128,117675711,pose_RIGHT_WRIST,0.06478,0.98833,-0.49148
128,117675711,pose_LEFT_PINKY,0.34508,1.08326,-0.40491
128,117675711,pose_RIGHT_PINKY,0.07212,1.06797,-0.59674
128,117675711,pose_LEFT_INDEX,0.33369,1.08195,-0.49898
128,117675711,pose_RIGHT_INDEX,0.08123,1.06317,-0.6853
128,117675711,pose_LEFT_THUMB,0.32198,1.04779,-0.3616
128,117675711,pose_RIGHT_THUMB,0.08351,1.03049,-0.53254
128,117675711,pose_LEFT_HIP,0.26293,1.02673,0.05251
128,117675711,pose_RIGHT_HIP,0.09094,1.0197,-0.05116
128,117675711,pose_LEFT_KNEE,0.26991,1.48886,0.07288
128,117675711,pose_RIGHT_KNEE,0.09854,1.47919,-0.07454
128,117675711,pose_LEFT_ANKLE,0.28356,1.89825,0.48658
128,117675711,pose_RIGHT_ANKLE,0.11782,1.91019,0.23091
128,117675711,pose_LEFT_HEEL,0.28472,1.95953,0.50638
128,117675711,pose_RIGHT_HEEL,0.11083,1.98079,0.24507
128,117675711,pose_LEFT_FOOT_INDEX,0.27825,2.01399,0.11059
128,117675711,pose_RIGHT_FOOT_INDEX,0.15487,2.01124,-0.20026
130,117675778,pose_LEFT_SHOULDER,0.29859,0.46098,-0.1614
130,117675778,pose_RIGHT_SHOULDER,0.01993,0.43813,-0.1639
130,117675778,pose_LEFT_ELBOW,0.3325,0.74376,-0.18337
130,117675778,pose_RIGHT_ELBOW,-0.02218,0.69273,-0.26115
130,117675778,pose_LEFT_WRIST,0.30464,0.98405,-0.5949
130,117675778,pose_RIGHT_WRIST,-0.00689,0.73109,-0.82653
130,117675778,pose_LEFT_PINKY,0.31388,1.0773,-0.70863
130,117675778,pose_RIGHT_PINKY,-0.003,0.76826,-0.95855
130,117675778,pose_LEFT_INDEX,0.29514,1.07399,-0.78556
130,117675778,pose_RIGHT_INDEX,-0.0034,0.73564,-1.03033
130,117675778,pose_LEFT_THUMB,0.28072,1.03103,-0.63724
130,117675778,pose_RIGHT_THUMB,0.00013,0.72209,-0.8738
130,117675778,pose_LEFT_HIP,0.2333,1.02336,-0.00782
130,117675778,pose_RIGHT_HIP,0.06123,1.01013,0.00969
130,117675778,pose_LEFT_KNEE,0.21743,1.42518,-0.20369
130,117675778,pose_RIGHT_KNEE,0.04029,1.37972,-0.29246
130,117675778,pose_LEFT_ANKLE,0.22959,1.80999,0.36041
130,117675778,pose_RIGHT_ANKLE,0.06441,1.79571,0.15058
130,117675778,pose_LEFT_HEEL,0.23167,1.86471,0.38921
130,117675778,pose_RIGHT_HEEL,0.06743,1.85687,0.17355
130,117675778,pose_LEFT_FOOT_INDEX,0.21097,1.92199,-0.05267
130,117675778,pose_RIGHT_FOOT_INDEX,0.07778,1.90091,-0.30425
131,117675911,pose_LEFT_SHOULDER,0.27058,0.4457,-0.19371
131,117675911,pose_RIGHT_SHOULDER,-0.00293,0.43752,-0.18773
131,117675911,pose_LEFT_ELBOW,0.33063,0.7169,-0.12666
131,117675911,pose_RIGHT_ELBOW,-0.03006,0.70025,-0.21431
131,117675911,pose_LEFT_WRIST,0.296,0.97379,-0.43238
131,117675911,pose_RIGHT_WRIST,-0.00449,0.77761,-0.68846
131,117675911,pose_LEFT_PINKY,0.29707,1.0496,-0.52688
131,117675911,pose_RIGHT_PINKY,0.00306,0.82428,-0.8015
131,117675911,pose_LEFT_INDEX,0.29354,1.0579,-0.60436
131,117675911,pose_RIGHT_INDEX,0.00323,0.79426,-0.88378
131,117675911,pose_LEFT_THUMB,0.26337,1.00313,-0.47175
131,117675911,pose_RIGHT_THUMB,0.00493,0.77708,-0.73409
131,117675911,pose_LEFT_HIP,0.21222,1.0068,-0.03689
131,117675911,pose_RIGHT_HIP,0.04204,0.99856,0.03812
131,117675911,pose_LEFT_KNEE,0.19072,1.41294,-0.13572
131,117675911,pose_RIGHT_KNEE,0.02028,1.38463,-0.08491
131,117675911,pose_LEFT_ANKLE,0.20487,1.7983,0.37509
131,117675911,pose_RIGHT_ANKLE,0.03956,1.78322,0.30919
131,117675911,pose_LEFT_HEEL,0.20963,1.85452,0.39933
131,117675911,pose_RIGHT_HEEL,0.04294,1.8412,0.32955
131,117675911,pose_LEFT_FOOT_INDEX,0.18609,1.90548,-0.02786
131,117675911,pose_RIGHT_FOOT_INDEX,0.04924,1.89004,-0.12345
133,117676078,pose_LEFT_SHOULDER,0.21463,0.44192,-0.1987
133,117676078,pose_RIGHT_SHOULDER,-0.03394,0.43261,-0.12882
133,117676078,pose_LEFT_ELBOW,0.27677,0.68696,-0.11619
133,117676078,pose_RIGHT_ELBOW,-0.0427,0.67669,-0.0357
133,117676078,pose_LEFT_WRIST,0.26358,0.92951,-0.37649
133,117676078,pose_RIGHT_WRIST,-0.02884,0.8339,-0.34708
133,117676078,pose_LEFT_PINKY,0.2581,0.97909,-0.46671
133,117676078,pose_RIGHT_PINKY,-0.02799,0.87673,-0.43313
133,117676078,pose_LEFT_INDEX,0.24603,0.97962,-0.54693
133,117676078,pose_RIGHT_INDEX,-0.02183,0.89188,-0.5235
133,117676078,pose_LEFT_THUMB,0.24132,0.95116,-0.42354
133,117676078,pose_RIGHT_THUMB,-0.01533,0.86508,-0.39299
133,117676078,pose_LEFT_HIP,0.16112,0.97278,-0.06091
133,117676078,pose_RIGHT_HIP,0.0158,0.97353,0.06192
133,117676078,pose_LEFT_KNEE,0.13424,1.35165,-0.14201
133,117676078,pose_RIGHT_KNEE,-0.01785,1.33247,0.00913
133,117676078,pose_LEFT_ANKLE,0.15692,1.73075,0.23166
133,117676078,pose_RIGHT_ANKLE,0.0212,1.71246,0.26421
133,117676078,pose_LEFT_HEEL,0.16412,1.78974,0.24506
133,117676078,pose_RIGHT_HEEL,0.02963,1.76763,0.27234
133,117676078,pose_LEFT_FOOT_INDEX,0.14243,1.82308,-0.12278
133,117676078,pose_RIGHT_FOOT_INDEX,0.02534,1.81128,-0.11792
