frame_number,timestamp_ms,landmark_name,visible,x,y,z
6,200,pose_RIGHT_KNEE,0.99428,0.36557,0.7029,-0.02827
6,200,pose_LEFT_ANKLE,0.98903,0.4507,0.85711,0.10526
6,200,pose_RIGHT_ANKLE,0.99219,0.33889,0.85338,0.12333
6,200,pose_LEFT_HEEL,0.9683,0.4426,0.88522,0.10562
6,200,pose_RIGHT_HEEL,0.89683,0.33268,0.86969,0.13138
6,200,pose_LEFT_FOOT_INDEX,0.98717,0.49188,0.89718,-0.00106
6,200,pose_RIGHT_FOOT_INDEX,0.98892,0.35936,0.90963,0.01679
8,266,pose_LEFT_SHOULDER,0.99991,0.42325,0.3231,0.09227
8,266,pose_RIGHT_SHOULDER,0.99994,0.3537,0.31692,-0.14644
8,266,pose_LEFT_ELBOW,0.51224,0.43253,0.41536,0.06901
8,266,pose_RIGHT_ELBOW,0.99175,0.3562,0.43169,-0.14558
8,266,pose_LEFT_WRIST,0.79839,0.46263,0.43577,-0.14183
8,266,pose_RIGHT_WRIST,0.97706,0.40766,0.4392,-0.12392
8,266,pose_LEFT_PINKY,0.77629,0.47347,0.45667,-0.17841
8,266,pose_RIGHT_PINKY,0.95238,0.42221,0.45125,-0.14483
8,266,pose_LEFT_INDEX,0.79901,0.47283,0.44574,-0.19571
8,266,pose_RIGHT_INDEX,0.95151,0.42203,0.43223,-0.16062
8,266,pose_LEFT_THUMB,0.77151,0.46659,0.44195,-0.15641
8,266,pose_RIGHT_THUMB,0.92449,0.41584,0.42793,-0.1267
8,266,pose_LEFT_HIP,0.99972,0.41574,0.54877,0.06879
8,266,pose_RIGHT_HIP,0.99947,0.37223,0.55256,-0.06865
8,266,pose_LEFT_KNEE,0.97563,0.44086,0.7028,0.03835
8,266,pose_RIGHT_KNEE,0.99448,0.36557,0.70278,-0.03555
8,266,pose_LEFT_ANKLE,0.98948,0.45068,0.85814,0.12259
8,266,pose_RIGHT_ANKLE,0.99255,0.3387,0.85311,0.10959
8,266,pose_LEFT_HEEL,0.9693,0.44264,0.88596,0.12315
8,266,pose_RIGHT_HEEL,0.89982,0.33227,0.86976,0.11684
8,266,pose_LEFT_FOOT_INDEX,0.98767,0.49206,0.89772,0.01685
8,266,pose_RIGHT_FOOT_INDEX,0.98932,0.35944,0.90919,0.00192
10,333,pose_LEFT_SHOULDER,0.99991,0.4235,0.32323,0.10054
10,333,pose_RIGHT_SHOULDER,0.99995,0.35411,0.31684,-0.13768
10,333,pose_LEFT_ELBOW,0.51101,0.43294,0.41564,0.06475
10,333,pose_RIGHT_ELBOW,0.99189,0.35807,0.43172,-0.13119
10,333,pose_LEFT_WRIST,0.79319,0.46252,0.43459,-0.15737
10,333,pose_RIGHT_WRIST,0.9774,0.40808,0.43894,-0.09203
10,333,pose_LEFT_PINKY,0.77072,0.47192,0.4517,-0.19503
10,333,pose_RIGHT_PINKY,0.95332,0.42245,0.44971,-0.1078
10,333,pose_LEFT_INDEX,0.79387,0.47095,0.44014,-0.21026
10,333,pose_RIGHT_INDEX,0.95257,0.42217,0.43175,-0.12128
10,333,pose_LEFT_THUMB,0.76617,0.46433,0.43661,-0.17163
10,333,pose_RIGHT_THUMB,0.92584,0.41637,0.4282,-0.09322
10,333,pose_LEFT_HIP,0.99969,0.41617,0.54938,0.06879
10,333,pose_RIGHT_HIP,0.99943,0.37302,0.5532,-0.06866
10,333,pose_LEFT_KNEE,0.97628,0.44069,0.70219,0.04621
10,333,pose_RIGHT_KNEE,0.99465,0.36588,0.7048,-0.04135
10,333,pose_LEFT_ANKLE,0.9897,0.45074,0.85739,0.13172
10,333,pose_RIGHT_ANKLE,0.99276,0.33859,0.854,0.08593
10,333,pose_LEFT_HEEL,0.96934,0.44285,0.88457,0.13293
10,333,pose_RIGHT_HEEL,0.90186,0.33226,0.86991,0.09209
10,333,pose_LEFT_FOOT_INDEX,0.98789,0.49151,0.89693,0.03227
10,333,pose_RIGHT_FOOT_INDEX,0.98956,0.35903,0.90907,-0.01819
12,400,pose_LEFT_SHOULDER,0.99989,0.42335,0.32484,0.11279
12,400,pose_RIGHT_SHOULDER,0.99994,0.36066,0.3162,-0.14759
12,400,pose_LEFT_ELBOW,0.47581,0.43015,0.42343,0.09182
12,400,pose_RIGHT_ELBOW,0.99143,0.36566,0.42806,-0.15098
12,400,pose_LEFT_WRIST,0.76757,0.46359,0.43704,-0.09033
12,400,pose_RIGHT_WRIST,0.97632,0.4172,0.4034,-0.09194
12,400,pose_LEFT_PINKY,0.74763,0.47573,0.45506,-0.11734
12,400,pose_RIGHT_PINKY,0.9519,0.43168,0.41145,-0.10216
12,400,pose_LEFT_INDEX,0.7728,0.47383,0.43759,-0.13582
12,400,pose_RIGHT_INDEX,0.95126,0.4255,0.39023,-0.11878
12,400,pose_LEFT_THUMB,0.74595,0.46852,0.43196,-0.10521
12,400,pose_RIGHT_THUMB,0.92331,0.42232,0.39149,-0.08984
12,400,pose_LEFT_HIP,0.99966,0.41677,0.5508,0.07216
12,400,pose_RIGHT_HIP,0.99937,0.37451,0.55393,-0.07202
12,400,pose_LEFT_KNEE,0.97615,0.44089,0.70017,0.04697
12,400,pose_RIGHT_KNEE,0.99452,0.36601,0.7051,-0.03406
12,400,pose_LEFT_ANKLE,0.98974,0.45125,0.85735,0.10047
12,400,pose_RIGHT_ANKLE,0.99277,0.33835,0.85512,0.09224
12,400,pose_LEFT_HEEL,0.96914,0.44336,0.88389,0.09847
12,400,pose_RIGHT_HEEL,0.90213,0.33221,0.87267,0.0984
12,400,pose_LEFT_FOOT_INDEX,0.98809,0.49137,0.89753,0.00341
12,400,pose_RIGHT_FOOT_INDEX,0.98962,0.359,0.90771,-0.00273
14,466,pose_LEFT_SHOULDER,0.99976,0.4224,0.32526,0.12486
14,466,pose_RIGHT_SHOULDER,0.99992,0.37264,0.31588,-0.16462
14,466,pose_LEFT_ELBOW,0.41279,0.42929,0.42936,0.10813
14,466,pose_RIGHT_ELBOW,0.99062,0.38638,0.43065,-0.17074
14,466,pose_LEFT_WRIST,0.69345,0.45821,0.44189,-0.05642
14,466,pose_RIGHT_WRIST,0.97559,0.42943,0.39891,-0.09529
14,466,pose_LEFT_PINKY,0.68039,0.46966,0.45726,-0.08117
14,466,pose_RIGHT_PINKY,0.95174,0.44232,0.39605,-0.10747
14,466,pose_LEFT_INDEX,0.70601,0.46923,0.43587,-0.09511
14,466,pose_RIGHT_INDEX,0.95088,0.4348,0.37664,-0.10907
14,466,pose_LEFT_THUMB,0.68287,0.46636,0.43156,-0.06935
